Specie,Forma_specialis,Host,Country,Subdivision,Level of precision,Year,Reference,x,y
Fusarium oxysporum,Capsici,Pepper,Albania,D�rres,2,2001,Merkuri et al. (2002),19.52527,41.4477
Fusarium oxysporum,Lycopersici,Tomato,Albania,Durr�s,2,2001,Merkuri et al. (2002),19.538,41.29336
Fusarium oxysporum,Melonis,Melon,Albania,D�rres,2,2001,Merkuri et al. (2002),19.78248,41.5262
Fusarium oxysporum,Tuberosi,Potato,Albania,D�rres,2,2001,Merkuri et al. (2002),19.50857,41.38629
Fusarium oxysporum,Albedinis,Date palm,Algeria,Adrar,3,1994,Fernandez et al. (1997),-0.43665,27.96079
Fusarium oxysporum,Albedinis,Date palm,Algeria,Adrar,3,2014,Benzhora et al. (2015),-0.38381,27.91387
Fusarium oxysporum,Albedinis,Date palm,Algeria,Adrar,3,1994,Fernandez et al. (1997),-0.30492,27.85872
Fusarium oxysporum,Albedinis,Date palm,Algeria,Adrar,3,2018,Benlarbi et al. (2018),-0.27769,27.71891
Fusarium oxysporum,Albedinis,Date palm,Algeria,Adrar,3,1994,Fernandez et al. (1997),-0.26038,27.7673
Fusarium oxysporum,Albedinis,Date palm,Algeria,Adrar,3,2018,Benlarbi et al. (2018),-0.22437,27.34781
Fusarium oxysporum,Albedinis,Date palm,Algeria,Adrar,3,2018,Benlarbi et al. (2018),-0.09718,27.04049
Fusarium oxysporum,Albedinis,Date palm,Algeria,Adrar,3,2014,Benzhora et al. (2015),-0.0844,28.44584
Fusarium oxysporum,Albedinis,Date palm,Algeria,Adrar,3,2014,Benzhora et al. (2015),0.16585,26.71479
Fusarium oxysporum,Albedinis,Date palm,Algeria,Adrar,3,2018,Benlarbi et al. (2018),0.21943,29.26723
Fusarium oxysporum,Albedinis,Date palm,Algeria,Adrar,3,2014,Benzhora et al. (2015),0.28464,29.43279
Fusarium oxysporum,Albedinis,Date palm,Algeria,Adrar,3,2014,Benzhora et al. (2015),0.33493,28.69831
Fusarium oxysporum,Albedinis,Date palm,Algeria,Adrar,3,2014,Benzhora et al. (2015),1.05172,27.03041
Fusarium oxysporum,Albedinis,Date palm,Algeria,Adrar,3,2014,Benzhora et al. (2015),1.06951,26.96584
Fusarium oxysporum,Albedinis,Date palm,Algeria,B�char,3,2014,Benzhora et al. (2015),-2.29744,30.47555
Fusarium oxysporum,Albedinis,Date palm,Algeria,B�char,3,2014,Benzhora et al. (2015),-2.21413,31.5891
Fusarium oxysporum,Albedinis,Date palm,Algeria,B�char,3,2018,Benlarbi et al. (2018),-2.17359,30.12222
Fusarium oxysporum,Albedinis,Date palm,Algeria,B�char,3,1994,Fernandez et al. (1997),-2.04215,30.93651
Fusarium oxysporum,Albedinis,Date palm,Algeria,B�char,3,2014,Benzhora et al. (2015),-1.36405,29.42688
Fusarium oxysporum,Albedinis,Date palm,Algeria,B�char,3,2014,Benzhora et al. (2015),-1.23502,32.04792
Fusarium oxysporum,Albedinis,Date palm,Algeria,Gharda�a,3,2014,Benzhora et al. (2015),3.61401,32.28357
Fusarium oxysporum,Albedinis,Date palm,Algeria,Gharda�a,3,1994,Fernandez et al. (1997),3.64998,32.50521
Fusarium oxysporum,Albedinis,Date palm,Algeria,Gharda�a,3,2014,Benzhora et al. (2015),3.67157,31.61017
Fusarium oxysporum,Albedinis,Date palm,Algeria,Gharda�a,3,2014,Benzhora et al. (2015),3.67517,32.46384
Fusarium oxysporum,Albedinis,Date palm,Algeria,Gharda�a,3,1994,Fernandez et al. (1997),3.7431,32.44179
Fusarium oxysporum,Albedinis,Date palm,Algeria,Gharda�a,3,2014,Benzhora et al. (2015),4.21359,32.3911
Fusarium oxysporum,Albedinis,Date palm,Algeria,Gharda�a,3,2014,Benzhora et al. (2015),4.52399,32.76601
Fusarium oxysporum,Albedinis,Date palm,Algeria,In Salah,3,2014,Benzhora et al. (2015),2.44566,27.19806
Fusarium oxysporum,Albedinis,Date palm,Algeria,In Salah,3,2014,Benzhora et al. (2015),2.79189,27.32818
Fusarium oxysporum,Ciceris,Chickpea,Algeria,A�n T�mouchent,2,2009,Tiemsani et al. (2020),-1.19557,35.23771
Fusarium oxysporum,Ciceris,Chickpea,Algeria,A�n T�mouchent,2,2008,Zemouli-Benfreha et al. (2014),-1.19072,35.34253
Fusarium oxysporum,Ciceris,Chickpea,Algeria,Constantine,2,2016,Guissous and Tayeb-Hammani (2016),6.68204,36.18087
Fusarium oxysporum,Ciceris,Chickpea,Algeria,Constantine,2,2016,Guissous and Tayeb-Hammani (2016),6.6958,36.24792
Fusarium oxysporum,Ciceris,Chickpea,Algeria,Guelma,2,2016,Guissous and Tayeb-Hammani (2016),7.14496,36.30319
Fusarium oxysporum,Ciceris,Chickpea,Algeria,Mascara,2,2016,Guissous and Tayeb-Hammani (2016),-0.0703,35.33123
Fusarium oxysporum,Ciceris,Chickpea,Algeria,Mascara,2,2008,Zemouli-Benfreha et al. (2014),0.06369,35.25369
Fusarium oxysporum,Ciceris,Chickpea,Algeria,Mostaganem,2,2009,Tiemsani et al. (2020),0.194,35.88467
Fusarium oxysporum,Ciceris,Chickpea,Algeria,Mostaganem,2,2009,Zemouli-Benfreha et al. (2014),0.2464,35.93873
Fusarium oxysporum,Ciceris,Chickpea,Algeria,Relizane,2,2009,Zemouli-Benfreha et al. (2014),0.48181,35.78139
Fusarium oxysporum,Ciceris,Chickpea,Algeria,Relizane,2,2016,Guissous and Tayeb-Hammani (2016),0.5681,35.69873
Fusarium oxysporum,Ciceris,Chickpea,Algeria,Sa�da,2,2009,Zemouli-Benfreha et al. (2014),0.11425,34.73628
Fusarium oxysporum,Ciceris,Chickpea,Algeria,Sidi Bel Abb�s,2,2016,Guissous and Tayeb-Hammani (2016),-0.60987,35.12579
Fusarium oxysporum,Ciceris,Chickpea,Algeria,Sidi Bel Abb�s,2,2008,Zemouli-Benfreha et al. (2014),-0.47115,35.16662
Fusarium oxysporum,Ciceris,Chickpea,Algeria,Sidi Bel Abb�s,2,2016,Guissous and Tayeb-Hammani (2016),-0.24813,35.22019
Fusarium oxysporum,Ciceris,Chickpea,Algeria,Tiaret,2,2009,Zemouli-Benfreha et al. (2014),1.38004,35.37562
Fusarium oxysporum,Ciceris,Chickpea,Algeria,Tlemcen,2,2009,Tiemsani et al. (2020),-1.27886,34.91312
Fusarium oxysporum,Lentis,Lentil,Algeria,A�n T�mouchent,2,2004,Belabib et al. (2004),-1.52133,35.22343
